Dates,Payrolls_3mo_pct_chg_annualized,Payrolls_12mo_pct_chg,Payrolls_3mo_vs_12mo,Unemployment_Rate,Unemployment_Rate_12mo_chg,Real_Fed_Funds_Rate,Real_Fed_Funds_Rate_12mo_chg,CPI_3mo_pct_chg_annualized,CPI_12mo_pct_chg,CPI_3mo_vs_12mo,10Y_Treasury_Rate_12mo_chg,3M_Treasury_Rate_12mo_chg,3M_10Y_Treasury_Spread,3M_10Y_Treasury_Spread_12mo_chg,5Y_10Y_Treasury_Spread,S&P_500_3mo_chg,S&P_500_12mo_chg,S&P_500_3mo_vs_12mo,IPI_3mo_pct_chg_annualized,IPI_12mo_pct_chg,IPI_3mo_vs_12mo,Recession
01-02-2021,0.002415458,-0.063080521,0.065495979,6.3,2.8,-1.210139813,-1.46,0.021872405,0.013001398,0.008871007,-0.68,-1.44,1,0.76,0.63,0.081386008,0.325690003,-0.244303995,0.127627491,-0.035824927,0.163452419,0
01-01-2021,0.020370184,-0.061460384,0.081830567,6.7,3.1,-1.048808244,-1.46,0.02200495,0.011388082,0.010616868,-0.93,-1.45,0.84,0.52,0.54,0.135867116,0.151516644,-0.015649529,0.056869244,-0.054077289,0.110946533,0
01-12-2020,0.047878886,-0.058968885,0.106847771,6.7,3.1,-1.104699033,-1.46,0.02905013,0.01194699,0.017103139,-0.94,-1.45,0.78,0.51,0.48,0.116880781,0.162589231,-0.045708449,0.068299272,-0.049723463,0.118022735,0
01-11-2020,0.088151654,-0.059257939,0.147409593,6.9,3.3,-1.319960551,-1.74,0.045324263,0.014099606,0.031224658,-0.92,-1.55,0.69,0.63,0.45,0.034659736,0.153025459,-0.118365723,0.211005439,-0.062807554,0.273812993,0
01-10-2020,0.122018433,-0.062539236,0.184557669,7.8,4.3,-1.234779984,-1.95,0.056955852,0.0132478,0.043708052,-1.02,-1.78,0.57,0.76,0.41,-0.000354666,0.076508743,-0.076863409,0.546237923,-0.065500395,0.611738317,0
01-09-2020,0.268770375,-0.065906504,0.334676879,8.4,4.7,-0.946791052,-2.03,0.038194434,0.010467911,0.027726523,-0.98,-1.85,0.55,0.87,0.38,0.084737221,0.129759405,-0.045022184,0.55457286,-0.065788943,0.620361803,0
01-08-2020,0.321889097,-0.075189016,0.397078113,10.2,6.6,-0.637812296,-2.31,-0.01091673,0.007278123,-0.018194853,-1.44,-1.97,0.49,0.53,0.34,0.149787634,0.196090193,-0.046302559,-0.233421454,-0.105012564,-0.12840889,0
01-07-2020,-0.302675438,-0.085456476,-0.217218962,11.1,7.5,-0.143596258,-2.3,-0.043801499,0.002235963,-0.046037462,-1.34,-2.01,0.57,0.67,0.39,0.123158391,0.097551401,0.02560699,-0.496636403,-0.157151568,-0.339484835,0
01-06-2020,-0.421921473,-0.116583082,-0.305338392,13.3,9.6,-0.289174232,-2.34,-0.038024882,0.003391742,-0.041416624,-1.73,-2.22,0.54,0.49,0.33,0.19952872,0.053889518,0.145639202,-0.511810649,-0.162613039,-0.34919761,0
01-05-2020,-0.465587176,-0.135039407,-0.330547769,14.8,11.1,-1.46172353,-2.37,-0.003311102,0.015117235,-0.018428337,-1.87,-2.24,0.52,0.37,0.27,0.030495389,0.106193177,-0.075697787,-0.174427558,-0.047036363,-0.127391195,0
